PD_ID,comment_date,industry,warning_signal_comment,pd_grade_before,pd_grade_after,grade_change,migration,true_theme,topic_id,topic_label
PD100022,2024-01-04,Business Services,Significant cash burn observed. Unrestricted cash fell 57% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,5,6,1,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100023,2025-06-03,Retail,"Refinancing risk elevated. The borrower's bonds trade at 71 cents on the dollar, signaling constrained capital markets access.",9,11,2,Downgrade,refinancing_risk,7,refinancing risk / risk elevated / trade / capital
PD100024,2024-07-22,Healthcare,Commodity price downturn pressuring the entire sub-sector. Rig counts and shipment volumes at multi-year lows; borrower hedges roll off in 4 quarters.,8,9,1,Downgrade,industry_headwinds,0,sector / margin / outlook / operating
PD100025,2024-01-01,Agriculture,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 74% of sales.,10,12,2,Downgrade,customer_concentration,11,customer / concentration / product / order
PD100026,2025-01-06,Oil & Gas,Commodity price downturn pressuring the entire sub-sector. Rig counts and shipment volumes at multi-year lows; borrower hedges roll off in 3 quarters.,1,1,0,No Change,industry_headwinds,0,sector / margin / outlook / operating
PD100027,2024-03-21,Retail,Operating cash flow turned negative in Q1 2024. Working capital squeeze evident; payables stretched beyond 116 days and the borrower requested a temporary overadvance.,4,7,3,Downgrade,liquidity_stress,3,capital / operating / days / borrowing
PD100028,2024-05-08,Healthcare,"Regulatory change effective next year is expected to reduce reimbursement rates by 6%, directly compressing borrower revenue in its core segment.",7,9,2,Downgrade,industry_headwinds,14,regulatory / rates / revenue / multiyear
PD100029,2024-06-18,Oil & Gas,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,5,7,2,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100030,2024-08-04,Hospitality,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.9x. Sponsor has been approached for an equity injection to shore up liquidity.,5,7,2,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100031,2025-04-07,Retail,Strong Q3 2025 results with revenue growth of 19% and record backlog of $264M. Guidance raised for the full year.,8,8,0,No Change,performance_improvement,0,sector / margin / outlook / operating
PD100032,2024-01-22,Agriculture,Regulatory investigation opened into billing practices. Legal reserves increased by $19M this quarter; reputational impact on new bookings possible.,6,6,0,No Change,legal_regulatory,10,auditor / inventory / period / counsel
PD100033,2024-03-13,Business Services,Operational restructuring complete; plant consolidation yields $12M of annualized savings. Order intake trending 28% above prior year.,10,9,-1,Upgrade,performance_improvement,11,customer / concentration / product / order
PD100034,2024-12-04,Retail,Turnaround gaining traction: EBITDA up 29% year over year and margins recovered to 10%. Cost actions delivered ahead of plan.,5,3,-2,Upgrade,performance_improvement,9,ebitda / qualified / compliance / missed
PD100035,2025-05-12,Commercial Real Estate,Springing covenant triggered as revolver utilization exceeded 33%. Borrower is now subject to full quarterly covenant testing and failed the first leverage test.,10,12,2,Downgrade,covenant_breach,5,covenant / test / revolver utilization / discrepancies approximately
PD100036,2025-04-29,Commercial Real Estate,OFAC compliance review identified potential sanctions exposure in an overseas subsidiary. Enhanced monitoring in place pending outside counsel findings.,7,8,1,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
PD100037,2024-07-13,Retail,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,6,7,1,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100038,2025-02-24,Construction,Revenue contracted 31% year over year driven by softening demand. Gross margin compressed 370 bps on input cost inflation the borrower could not pass through.,7,9,2,Downgrade,revenue_decline,18,pass / demand / margin / cost
PD100039,2024-04-10,Manufacturing,Sector outlook deteriorating; industry volumes down 18% and two regional competitors filed for Chapter 11 this year. Borrower exposed to the same demand drivers.,5,8,3,Downgrade,industry_headwinds,0,sector / margin / outlook / operating
PD100040,2024-07-15,Commercial Real Estate,Voluntary prepayment of $53M made this quarter. FCCR improved to 2.3x and all covenants passed with comfortable headroom.,3,3,0,No Change,deleveraging,10,auditor / inventory / period / counsel
PD100041,2024-10-12,Construction,Margin erosion accelerating; operating margin at 4% versus 9% prior year. Competitive discounting in the sector shows no sign of abating.,7,8,1,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100042,2024-04-10,Manufacturing,New tariffs raise landed costs approximately 12% on the borrower's primary import lines. Ability to pass through to customers is unproven.,7,9,2,Downgrade,industry_headwinds,4,exposure / filed / new / approximately
PD100043,2024-08-30,Healthcare,Springing covenant triggered as revolver utilization exceeded 30%. Borrower is now subject to full quarterly covenant testing and failed the first leverage test.,8,10,2,Downgrade,covenant_breach,5,covenant / test / revolver utilization / discrepancies approximately
PD100044,2025-02-14,Manufacturing,Minimum EBITDA covenant missed by 23%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,10,13,3,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100045,2024-09-28,Construction,Fixed charge coverage covenant violation reported. FCCR of 0.8x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,5,8,3,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100046,2025-05-13,Healthcare,"Refinancing risk elevated. The borrower's bonds trade at 68 cents on the dollar, signaling constrained capital markets access.",8,12,4,Downgrade,refinancing_risk,7,refinancing risk / risk elevated / trade / capital
PD100047,2024-03-03,Business Services,Operating cash flow turned negative in Q3 2024. Working capital squeeze evident; payables stretched beyond 63 days and the borrower requested a temporary overadvance.,6,9,3,Downgrade,liquidity_stress,3,capital / operating / days / borrowing
PD100048,2025-05-29,Hospitality,Financial covenants tripped at the Q1 2024 test date. The borrower requested a covenant holiday through year end. Pricing step-up and additional reporting agreed as conditions.,7,9,2,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100049,2024-03-23,Healthcare,Debt maturity wall approaching; 43% of funded debt comes due within 18 months. Sponsor exploring amend-and-extend but lender appetite is uncertain.,7,8,1,Downgrade,refinancing_risk,20,debt / sponsor / months / 
PD100050,2024-02-10,Agriculture,Borrower breached the maximum leverage covenant in Q1 2024; reported 5.7x against a 4.4x threshold. Waiver request under negotiation with the bank group.,5,7,2,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100051,2024-09-24,Commercial Real Estate,Term loan of $264M matures in 15 months with no committed refinancing. Current leverage of 6.4x makes a market refinance challenging.,8,10,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100052,2024-05-14,Wholesale Trade,Significant cash burn observed. Unrestricted cash fell 45% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,5,7,2,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100053,2024-03-15,Manufacturing,Borrower returned to profitability after two loss-making years. Cash conversion improved and the revolver is now undrawn.,6,5,-1,Upgrade,performance_improvement,16,position / revolver utilization / revolver / additional
PD100054,2024-04-12,Retail,"Interest burden up sharply post rate resets; cash interest coverage at 1.4x. Hedges expired and were not replaced, leaving full floating-rate exposure.",8,11,3,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100055,2024-12-23,Retail,Prolonged softness in the freight market; spot rates below breakeven for 4 consecutive quarters. Fleet utilization at 76%.,6,7,1,Downgrade,industry_headwinds,13,hedges / rates / market / quarters
PD100056,2024-11-05,Agriculture,Strong Q3 2025 results with revenue growth of 13% and record backlog of $264M. Guidance raised for the full year.,8,7,-1,Upgrade,performance_improvement,0,sector / margin / outlook / operating
PD100057,2024-11-02,Wholesale Trade,Margin erosion accelerating; operating margin at 1% versus 13% prior year. Competitive discounting in the sector shows no sign of abating.,10,11,1,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100058,2024-04-19,Business Services,Turnaround gaining traction: EBITDA up 23% year over year and margins recovered to 13%. Cost actions delivered ahead of plan.,8,8,0,No Change,performance_improvement,9,ebitda / qualified / compliance / missed
PD100059,2024-08-03,Business Services,"Leverage remains elevated at 5.9x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",7,10,3,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100060,2024-09-27,Hospitality,Significant cash burn observed. Unrestricted cash fell 43% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,8,10,2,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100061,2024-02-22,Retail,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $11M of revolver availability to fund payroll. Treasury reports minimal headroom.,7,8,1,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100062,2024-12-07,Healthcare,"Interest burden up sharply post rate resets; cash interest coverage at 1.5x. Hedges expired and were not replaced, leaving full floating-rate exposure.",4,4,0,No Change,refinancing_risk,13,hedges / rates / market / quarters
PD100063,2025-03-13,Hospitality,"Refinancing risk elevated. The borrower's bonds trade at 60 cents on the dollar, signaling constrained capital markets access.",5,6,1,Downgrade,refinancing_risk,7,refinancing risk / risk elevated / trade / capital
PD100064,2024-06-01,Hospitality,Top customer representing 28% of revenue did not renew its contract at term. Replacement pipeline covers less than half of the lost volume.,9,9,0,No Change,customer_concentration,1,sales / lowered fullyear / fullyear / continues
PD100065,2024-02-12,Oil & Gas,Term loan of $239M matures in 15 months with no committed refinancing. Current leverage of 6.4x makes a market refinance challenging.,5,7,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100066,2024-02-10,Technology,EBITDA declined 43% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,5,6,1,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100067,2025-02-20,Agriculture,Asset sale proceeds of $199M applied to term debt. Leverage reduced to 2.4x from 4.2x at last review.,9,7,-2,Upgrade,deleveraging,7,refinancing risk / risk elevated / trade / capital
PD100068,2024-06-30,Transportation,Debt maturity wall approaching; 55% of funded debt comes due within 18 months. Sponsor exploring amend-and-extend but lender appetite is uncertain.,7,10,3,Downgrade,refinancing_risk,20,debt / sponsor / months / 
PD100069,2024-12-06,Transportation,Audited financial statements are 82 days past due. Auditor cited unresolved revenue recognition matters; a going concern qualification has not been ruled out.,4,5,1,Downgrade,reporting_delinquency,9,ebitda / qualified / compliance / missed
PD100070,2024-04-20,Transportation,Debt maturity wall approaching; 57% of funded debt comes due within 18 months. Sponsor exploring amend-and-extend but lender appetite is uncertain.,5,7,2,Downgrade,refinancing_risk,20,debt / sponsor / months / 
PD100071,2025-04-16,Technology,Turnaround gaining traction: EBITDA up 45% year over year and margins recovered to 12%. Cost actions delivered ahead of plan.,7,6,-1,Upgrade,performance_improvement,9,ebitda / qualified / compliance / missed
PD100072,2024-07-16,Transportation,"Sponsor injected $44M of fresh equity, curing the covenant breach and funding the growth capex program. Liquidity restored to $58M.",5,5,0,No Change,deleveraging,17,fccr / equity / breach / sponsor
PD100073,2024-10-12,Technology,EPA notice of violation received relating to the primary facility. Remediation cost estimates range up to $25M; operations could face interruption.,5,6,1,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
PD100074,2024-04-28,Oil & Gas,Material weakness in internal controls disclosed. Segregation of duties issues in the treasury function; remediation plan requested by Q4 2025.,7,9,2,Downgrade,reporting_delinquency,2,headroom / concerns / missed / revolver
PD100075,2024-09-28,Manufacturing,Borrower delinquent on quarterly reporting for the second time this year. Field exam identified borrowing base discrepancies of approximately $11M.,8,9,1,Downgrade,reporting_delinquency,5,covenant / test / revolver utilization / discrepancies approximately
PD100076,2024-11-17,Transportation,Successful refinancing completed; maturities extended to 2031 at improved pricing. Near-term refinancing risk eliminated.,7,4,-3,Upgrade,deleveraging,15,refinancing / committed / market / term
PD100077,2024-04-28,Transportation,OFAC compliance review identified potential sanctions exposure in an overseas subsidiary. Enhanced monitoring in place pending outside counsel findings.,9,11,2,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
PD100078,2025-03-22,Manufacturing,"Leverage remains elevated at 6.0x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",4,4,0,No Change,refinancing_risk,8,period / debt / elevated / leverage
PD100079,2024-07-20,Technology,Contract repricing with the anchor customer cut unit margins 27%. Borrower has limited negotiating leverage given dependence on this relationship.,8,10,2,Downgrade,customer_concentration,18,pass / demand / margin / cost
PD100080,2024-12-04,Agriculture,"New contract wins add $23M of committed multi-year revenue, diversifying the customer base and improving visibility.",8,10,2,Downgrade,performance_improvement,14,regulatory / rates / revenue / multiyear
PD100081,2024-11-03,Hospitality,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 71% of sales.,10,12,2,Downgrade,customer_concentration,11,customer / concentration / product / order
PD100082,2025-02-16,Business Services,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 71% of sales.,6,8,2,Downgrade,customer_concentration,11,customer / concentration / product / order
PD100083,2025-03-06,Wholesale Trade,EBITDA declined 32% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,7,8,1,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100084,2024-11-04,Transportation,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $8M of revolver availability to fund payroll. Treasury reports minimal headroom.,12,13,1,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100085,2025-03-16,Agriculture,Margin erosion accelerating; operating margin at 1% versus 10% prior year. Competitive discounting in the sector shows no sign of abating.,6,8,2,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100086,2025-03-28,Wholesale Trade,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.8x. Sponsor has been approached for an equity injection to shore up liquidity.,6,9,3,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100087,2025-06-11,Wholesale Trade,Operating cash flow turned negative in Q4 2024. Working capital squeeze evident; payables stretched beyond 102 days and the borrower requested a temporary overadvance.,10,10,0,No Change,liquidity_stress,3,capital / operating / days / borrowing
PD100088,2024-08-28,Wholesale Trade,Springing covenant triggered as revolver utilization exceeded 35%. Borrower is now subject to full quarterly covenant testing and failed the first leverage test.,5,5,0,No Change,covenant_breach,5,covenant / test / revolver utilization / discrepancies approximately
PD100089,2024-05-30,Manufacturing,Significant cash burn observed. Unrestricted cash fell 44% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,12,14,2,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100090,2025-04-11,Transportation,Term loan of $175M matures in 13 months with no committed refinancing. Current leverage of 6.5x makes a market refinance challenging.,3,5,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100091,2025-01-28,Construction,Contract repricing with the anchor customer cut unit margins 16%. Borrower has limited negotiating leverage given dependence on this relationship.,6,6,0,No Change,customer_concentration,18,pass / demand / margin / cost
PD100092,2024-01-06,Retail,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $10M of revolver availability to fund payroll. Treasury reports minimal headroom.,8,11,3,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100093,2025-06-14,Construction,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,6,7,1,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100094,2024-11-20,Construction,Borrower breached the maximum leverage covenant in Q2 2024; reported 5.9x against a 4.3x threshold. Waiver request under negotiation with the bank group.,11,13,2,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100095,2025-03-12,Hospitality,"Leverage remains elevated at 7.5x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",8,11,3,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100096,2025-05-01,Construction,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,4,5,1,Downgrade,reporting_delinquency,3,capital / operating / days / borrowing
PD100097,2024-10-10,Hospitality,EBITDA declined 39% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,6,9,3,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100098,2024-03-20,Business Services,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $10M of revolver availability to fund payroll. Treasury reports minimal headroom.,1,2,1,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100099,2024-03-23,Healthcare,Financial covenants tripped at the Q2 2025 test date. The borrower requested a covenant holiday through year end. Pricing step-up and additional reporting agreed as conditions.,3,4,1,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100100,2024-06-05,Business Services,Borrower delinquent on quarterly reporting for the second time this year. Field exam identified borrowing base discrepancies of approximately $5M.,6,8,2,Downgrade,reporting_delinquency,5,covenant / test / revolver utilization / discrepancies approximately
PD100101,2024-12-04,Hospitality,Topline deterioration continues for a third consecutive quarter. Sales down 10% and order backlog thinning. Management lowered full-year guidance materially.,7,11,4,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100102,2025-03-06,Transportation,"Adverse arbitration ruling requires payment of $31M within 90 days, straining liquidity. Appeal under consideration but counsel views prospects as limited.",5,5,0,No Change,legal_regulatory,10,auditor / inventory / period / counsel
PD100103,2025-01-24,Construction,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.9x. Sponsor has been approached for an equity injection to shore up liquidity.,7,7,0,No Change,liquidity_stress,17,fccr / equity / breach / sponsor
PD100104,2025-02-03,Transportation,Audited financial statements are 180 days past due. Auditor cited unresolved revenue recognition matters; a going concern qualification has not been ruled out.,7,9,2,Downgrade,reporting_delinquency,6,annual / raised / repeated / concerns
PD100105,2024-08-13,Construction,Margin erosion accelerating; operating margin at 6% versus 13% prior year. Competitive discounting in the sector shows no sign of abating.,6,10,4,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100106,2024-01-30,Transportation,New tariffs raise landed costs approximately 18% on the borrower's primary import lines. Ability to pass through to customers is unproven.,7,9,2,Downgrade,industry_headwinds,4,exposure / filed / new / approximately
PD100107,2024-06-18,Construction,"Sponsor injected $100M of fresh equity, curing the covenant breach and funding the growth capex program. Liquidity restored to $116M.",6,4,-2,Upgrade,deleveraging,17,fccr / equity / breach / sponsor
PD100108,2025-02-07,Agriculture,Topline deterioration continues for a third consecutive quarter. Sales down 25% and order backlog thinning. Management lowered full-year guidance materially.,6,6,0,No Change,revenue_decline,13,hedges / rates / market / quarters
PD100109,2025-03-14,Healthcare,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.8x. Sponsor has been approached for an equity injection to shore up liquidity.,9,9,0,No Change,liquidity_stress,17,fccr / equity / breach / sponsor
PD100110,2025-01-23,Technology,"Adverse arbitration ruling requires payment of $16M within 90 days, straining liquidity. Appeal under consideration but counsel views prospects as limited.",9,9,0,No Change,legal_regulatory,10,auditor / inventory / period / counsel
PD100111,2025-01-23,Oil & Gas,Topline deterioration continues for a third consecutive quarter. Sales down 22% and order backlog thinning. Management lowered full-year guidance materially.,8,9,1,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100112,2025-04-26,Manufacturing,Largest customer filed for bankruptcy protection; receivable exposure of $11M likely impaired. Trade credit insurance covers only a portion.,7,9,2,Downgrade,customer_concentration,4,exposure / filed / new / approximately
PD100113,2024-03-11,Wholesale Trade,Margin erosion accelerating; operating margin at 1% versus 10% prior year. Competitive discounting in the sector shows no sign of abating.,6,9,3,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100114,2024-01-21,Agriculture,Turnaround gaining traction: EBITDA up 16% year over year and margins recovered to 12%. Cost actions delivered ahead of plan.,7,6,-1,Upgrade,performance_improvement,9,ebitda / qualified / compliance / missed
PD100115,2024-04-27,Agriculture,Loss of a major account announced; $40M of annual revenue affected beginning next quarter. Concentration risk previously flagged at underwriting.,6,8,2,Downgrade,customer_concentration,13,hedges / rates / market / quarters
PD100116,2024-04-27,Healthcare,Strong Q4 2025 results with revenue growth of 19% and record backlog of $125M. Guidance raised for the full year.,10,9,-1,Upgrade,performance_improvement,0,sector / margin / outlook / operating
PD100117,2024-11-15,Agriculture,EBITDA declined 18% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,6,8,2,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100118,2024-07-22,Retail,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $15M of revolver availability to fund payroll. Treasury reports minimal headroom.,8,10,2,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100119,2024-04-14,Business Services,Debt paydown ahead of schedule; net leverage now 2.6x. Rating outlook revised to stable given strengthened balance sheet.,11,10,-1,Upgrade,deleveraging,8,period / debt / elevated / leverage
PD100120,2024-05-03,Agriculture,"Significant management turnover noted: controller, treasurer, and head of operations all departed within two quarters. Institutional knowledge loss is a concern for reporting quality.",5,5,0,No Change,management_turnover,6,annual / raised / repeated / concerns
PD100121,2025-06-02,Wholesale Trade,Term loan of $227M matures in 14 months with no committed refinancing. Current leverage of 6.1x makes a market refinance challenging.,9,11,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100122,2025-05-16,Retail,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 50% of sales.,7,8,1,Downgrade,customer_concentration,11,customer / concentration / product / order
PD100123,2025-04-15,Business Services,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $14M of revolver availability to fund payroll. Treasury reports minimal headroom.,2,6,4,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100124,2025-05-10,Construction,Strong Q4 2024 results with revenue growth of 24% and record backlog of $178M. Guidance raised for the full year.,5,3,-2,Upgrade,performance_improvement,0,sector / margin / outlook / operating
PD100125,2024-09-08,Retail,Minimum EBITDA covenant missed by 26%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,8,11,3,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100126,2025-04-20,Agriculture,Significant cash burn observed. Unrestricted cash fell 58% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,8,10,2,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100127,2025-05-21,Technology,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.8x. Sponsor has been approached for an equity injection to shore up liquidity.,8,11,3,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100128,2024-12-14,Oil & Gas,Operating cash flow turned negative in Q4 2024. Working capital squeeze evident; payables stretched beyond 82 days and the borrower requested a temporary overadvance.,4,5,1,Downgrade,liquidity_stress,3,capital / operating / days / borrowing
PD100129,2025-06-13,Commercial Real Estate,Contract repricing with the anchor customer cut unit margins 18%. Borrower has limited negotiating leverage given dependence on this relationship.,6,9,3,Downgrade,customer_concentration,19,covenants / covenant / test / additional
PD100130,2024-09-03,Business Services,Borrower has fully drawn the revolver with utilization at 92%. Cash position declined to $13M and liquidity runway is under 6 months without additional support.,8,12,4,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
